IdSensore,Tipologia,UnitaDiMisura,IdStazione,NomeStazione,Quota,Provincia,DataStart,DataStop,Storico,UTM_Nord,UTM_Est,lng,lat,location
9113,Precipitazione,mm,1221,Casnigo Campo Sportivo,502,BG,18/02/2004,,N,5073453,567252,9.865590363,45.81136074,"(45.811360742715465, 9.865590362771156)"
2278,Precipitazione,mm,119,San Giovanni Bianco Cornalita,622,BG,07/09/2001,,N,5079768,549604,9.639112837,45.8696909,"(45.86969089938538, 9.639112837494569)"
2270,Temperatura,∞C,119,San Giovanni Bianco Cornalita,622,BG,07/09/2001,,N,5079768,549604,9.639112837,45.8696909,"(45.86969089938538, 9.639112837494569)"
14340,Velocita'† Vento,m/s,133,Bema,958,SO,15/11/2012,,N,5105929,544001,9.5693347,46.10551878,"(46.10551877576103, 9.569334700408506)"
11651,Velocita'† Vento,m/s,125,Castello d'Agogna,106,PV,01/01/1993,29/05/2020,S,5010411,476502,8.700571652,45.24680045,"(45.246800446962254, 8.700571652227913)"
2448,Umidita'† Relativa,%,133,Bema,958,SO,01/01/1993,,N,5105929,544001,9.5693347,46.10551878,"(46.10551877576103, 9.569334700408506)"
11650,Velocita'† Vento,m/s,119,San Giovanni Bianco Cornalita,622,BG,07/09/2001,,N,5079768,549604,9.639112837,45.8696909,"(45.86969089938538, 9.639112837494569)"
64,Livello Idrometrico,cm,33,Lanzada Ganda,988,SO,10/11/1989,,N,5124452,568154,9.884492289,46.27022317,"(46.270223168372866, 9.884492288726006)"
2449,Radiazione Globale,W/m≤,133,Bema,958,SO,01/01/1993,,N,5105929,544001,9.5693347,46.10551878,"(46.10551877576103, 9.569334700408506)"
11837,Direzione Vento,∞,125,Castello d'Agogna,106,PV,12/02/2012,20/05/2020,S,5010411,476502,8.700571652,45.24680045,"(45.246800446962254, 8.700571652227913)"
6175,Umidita'† Relativa,%,512,Carate Brianza v.De Gasperi,250,MB,01/01/1999,26/04/2018,S,5057635,518272,9.234591662,45.67202473,"(45.672024734078455, 9.234591661788048)"
14257,Temperatura,∞C,1346,Campodolcino Alpe Motta,1880,SO,17/10/2012,,N,5141127,528341,9.368831614,46.42312127,"(46.42312127327754, 9.368831613649158)"
19243,Velocita'† Vento,m/s,502,Milano v.Juvara,122,MI,28/02/2014,,N,5035546,517377,9.222315139,45.47322571,"(45.473225708577175, 9.222315138737468)"
10661,Umidita'† Relativa,%,1898,Valganna Mondonico,665,VA,18/05/2020,,N,5084612,485317,8.810666296,45.91491984,"(45.914919843129915, 8.810666295513172)"
10658,Temperatura,∞C,1898,Valganna Mondonico,665,VA,18/05/2020,,N,5084612,485317,8.810666296,45.91491984,"(45.914919843129915, 8.810666295513172)"
10666,Precipitazione,mm,1898,Valganna Mondonico,665,VA,18/05/2020,,N,5084612,485317,8.810666296,45.91491984,"(45.914919843129915, 8.810666295513172)"
10664,Velocita'† Vento,m/s,1898,Valganna Mondonico,665,VA,18/05/2020,,N,5084612,485317,8.810666296,45.91491984,"(45.914919843129915, 8.810666295513172)"
10662,Direzione Vento,∞,1898,Valganna Mondonico,665,VA,18/05/2020,,N,5084612,485317,8.810666296,45.91491984,"(45.914919843129915, 8.810666295513172)"
6698,Temperatura,∞C,642,Pavia v. Folperti,77,PV,01/06/2002,,N,5004590,512932,9.164638301,45.1946761,"(45.19467609907785, 9.164638300630086)"
14589,Direzione Vento,∞,1379,Gargnano,984,BS,15/07/2015,,N,5065317,625847,10.61740677,45.72996009,"(45.72996009420703, 10.61740677213208)"
2202,Velocita'† Vento,m/s,115,Ispra tetto,193,VA,26/10/2001,01/08/2012,S,5073482,470058,8.61460141,45.81425052,"(45.8142505176502, 8.614601410385973)"
2084,Radiazione Globale,W/m≤,106,Varzi Nivione,500,PV,12/09/2003,,N,4961571,514194,9.179491628,44.80739989,"(44.807399892628766, 9.179491628449293)"
6163,Umidita'† Relativa,%,564,Erba v. Battisti,279,CO,21/02/2009,,N,5072803,517232,9.221779204,45.80857381,"(45.808573806922965, 9.221779204488435)"
5932,Temperatura,∞C,570,Tirano Viale Italia,439,SO,01/11/1993,17/05/2018,S,5118891,589196,10.15647023,46.21774621,"(46.21774621439411, 10.156470232146322)"
14159,Direzione Vento,∞,140,Motta Visconti SMR,100,MI,21/05/2012,25/08/2020,S,5014273,499103,8.988562727,45.2819562,"(45.281956197427846, 8.988562726793255)"
14121,Precipitazione,mm,1327,Milano v.Rosellini,124,MI,02/04/2012,,N,5037412,515187,9.194354975,45.49007288,"(45.49007287851451, 9.194354974831441)"
12724,Precipitazione,mm,1899,Bereguardo Fornasetta,95,PV,11/08/2020,,N,5012143,501719,9.021910873,45.26278148,"(45.26278148198283, 9.021910873269455)"
4004,Radiazione Globale,W/m≤,140,Motta Visconti SMR,100,MI,28/10/2008,25/08/2020,S,5014273,499103,8.988562727,45.2819562,"(45.281956197427846, 8.988562726793255)"
12712,Direzione Vento,∞,125,Castello d'Agogna,106,PV,22/05/2020,,N,5010411,476502,8.700571652,45.24680045,"(45.246800446962254, 8.700571652227913)"
4008,Precipitazione,mm,140,Motta Visconti SMR,100,MI,15/05/2003,25/08/2020,S,5014273,499103,8.988562727,45.2819562,"(45.281956197427846, 8.988562726793255)"
4001,Temperatura,∞C,140,Motta Visconti SMR,100,MI,23/05/2003,25/08/2020,S,5014273,499103,8.988562727,45.2819562,"(45.281956197427846, 8.988562726793255)"
12720,Direzione Vento,∞,1899,Bereguardo Fornasetta,95,PV,16/08/2020,,N,5012143,501719,9.021910873,45.26278148,"(45.26278148198283, 9.021910873269455)"
4002,Umidita'† Relativa,%,140,Motta Visconti SMR,100,MI,15/05/2003,25/08/2020,S,5014273,499103,8.988562727,45.2819562,"(45.281956197427846, 8.988562726793255)"
12722,Velocita'† Vento,m/s,1899,Bereguardo Fornasetta,95,PV,16/08/2020,,N,5012143,501719,9.021910873,45.26278148,"(45.26278148198283, 9.021910873269455)"
24408,Temperatura,∞C,1974,Grone San Fermo,1246,BG,30/08/2020,,N,5066048,572800,9.935872972,45.74415628,"(45.744156277136966, 9.935872972330552)"
24411,Umidita'† Relativa,%,1974,Grone San Fermo,1246,BG,30/08/2020,,N,5066048,572800,9.935872972,45.74415628,"(45.744156277136966, 9.935872972330552)"
12716,Temperatura,∞C,1899,Bereguardo Fornasetta,95,PV,11/08/2020,,N,5012143,501719,9.021910873,45.26278148,"(45.26278148198283, 9.021910873269455)"
24416,Precipitazione,mm,1974,Grone San Fermo,1246,BG,30/08/2020,,N,5066048,572800,9.935872972,45.74415628,"(45.744156277136966, 9.935872972330552)"
12719,Umidita'† Relativa,%,1899,Bereguardo Fornasetta,95,PV,11/08/2020,,N,5012143,501719,9.021910873,45.26278148,"(45.26278148198283, 9.021910873269455)"
24412,Direzione Vento,∞,1974,Grone San Fermo,1246,BG,30/08/2020,,N,5066048,572800,9.935872972,45.74415628,"(45.744156277136966, 9.935872972330552)"
12728,Radiazione Globale,W/m≤,1974,Grone San Fermo,1246,BG,30/08/2020,,N,5066048,572800,9.935872972,45.74415628,"(45.744156277136966, 9.935872972330552)"
11025,Precipitazione,mm,826,Gavardo SP 116,205,BS,06/08/2020,,N,5049767,612403,10.44108604,45.59235603,"(45.59235602705005, 10.44108604357676)"
24414,Velocita'† Vento,m/s,1974,Grone San Fermo,1246,BG,30/08/2020,,N,5066048,572800,9.935872972,45.74415628,"(45.744156277136966, 9.935872972330552)"
19008,Velocita'† Vento,m/s,620,Milano v.Brera,122,MI,25/03/2014,29/10/2020,S,5035365,514782,9.189110384,45.47165629,"(45.47165629324304, 9.189110383708842)"
4007,Velocita'† Vento,m/s,140,Motta Visconti SMR,100,MI,15/05/2003,26/08/2020,S,5014273,499103,8.988562727,45.2819562,"(45.281956197427846, 8.988562726793255)"
19009,Direzione Vento,∞,620,Milano v.Brera,122,MI,25/03/2014,29/10/2020,S,5035365,514782,9.189110384,45.47165629,"(45.47165629324304, 9.189110383708842)"
12713,Velocita'† Vento,m/s,125,Castello d'Agogna,106,PV,21/05/2020,,N,5010411,476502,8.700571652,45.24680045,"(45.246800446962254, 8.700571652227913)"
11644,Velocita'† Vento,m/s,108,Samolaco v.Vignola,206,SO,27/07/1994,,N,5120369,532896,9.426654062,46.23610161,"(46.23610160988358, 9.426654061947305)"
14725,Temperatura,∞C,1545,San Siro Alpe Rescasc√¨a,1285,CO,30/12/2014,,N,5102069,518430,9.238323436,46.07194742,"(46.071947417956004, 9.238323435918229)"
2336,Precipitazione,mm,123,Cavenago d'Adda,67,LO,08/08/2002,,N,5013018,544138,9.562659973,45.26927396,"(45.269273960528615, 9.562659972530115)"
8166,Temperatura,∞C,870,Como viale Geno,200,CO,05/07/2000,,N,5074080,506207,9.079902001,45.82025492,"(45.82025491696097, 9.079902000578425)"
8161,Precipitazione,mm,889,Torre Boldone,311,BG,21/11/2001,,N,5063070,555269,9.710185461,45.71897778,"(45.718977777624474, 9.710185460541974)"
9119,Precipitazione,mm,1218,Ardesio Valcanale,1002,BG,01/01/2004,,N,5088916,566917,9.863432156,45.95055277,"(45.95055277386598, 9.8634321558842)"
5127,Velocita'† Vento,m/s,166,Mantova Lunetta2 SMR,25,MN,08/01/2006,,N,5002119,643358,10.82393143,45.15798528,"(45.157985278189244, 10.823931433968092)"
2064,Umidita'† Relativa,%,104,Segrate Milano Due,120,MI,21/06/1995,16/06/2004,S,5038760,520713,9.265129993,45.50206407,"(45.50206407454183, 9.26512999260201)"
7046,Temperatura,∞C,695,Ponti sul Mincio v.San Martino,113,MN,19/12/2006,,N,5030184,631718,10.68335734,45.41277169,"(45.41277169168634, 10.683357343786835)"
14700,Precipitazione,mm,1420,Gordona,1362,SO,20/03/2014,,N,5126494,526127,9.339203153,46.29151911,"(46.29151911107429, 9.339203152913957)"
14165,Umidita'† Relativa,%,1219,Casalbuttano ed Uniti,56,CR,09/10/2012,,N,5011836,575599,9.963491701,45.25595602,"(45.25595602117305, 9.96349170050652)"
2461,Radiazione Globale,W/m≤,134,Corzano Bargnano,93,BS,12/09/2003,,N,5031659,581271,10.03902738,45.43372847,"(45.43372847020967, 10.039027376964667)"
8546,Livello Idrometrico,cm,817,Pavia SS 35,71,PV,18/04/2001,,N,5003026,511523,9.146664116,45.18062205,"(45.18062204522296, 9.14666411623237)"
2613,Temperatura,∞C,212,Canzo,1233,CO,20/04/2011,,N,5077224,524701,9.318132023,45.84813791,"(45.84813790508536, 9.318132023436622)"
