idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,datastop,utm_nord,utm_est,coordinate,
5520,Biossido di Azoto,µg/m³,517,Turbigo vicolo dello sport,141,MI,Turbigo,N,1990-01-11T00:00:00.000,,5041480,479423,(45.52655, 8.736497)
5521,Biossido di Azoto,µg/m³,518,Galliate strada del Piaggio,153,NO,Galliate,S,1992-12-07T00:00:00.000,2017-01-04T00:00:00.000,5034980,479423,(45.468044, 8.73677)
5522,Biossido di Azoto,µg/m³,519,Tribiano,94,MI,Tribiano,S,1993-09-17T00:00:00.000,2006-04-13T00:00:00.000,5028070,529033,(45.40555, 9.370994)
5528,Biossido di Azoto,µg/m³,525,Corsico v.le Italia,119,MI,Corsico,S,1989-10-30T00:00:00.000,2018-07-30T00:00:00.000,5031403,507619,(45.436108, 9.097411)
5530,Biossido di Azoto,µg/m³,527,Castano Primo v. Olimpiadi,175,MI,Castano Primo,S,1990-01-01T00:00:00.000,2017-01-01T00:00:00.000,5043625,482522,(45.545944, 8.776105)
5531,Biossido di Azoto,µg/m³,528,Milano Verziere,116,MI,Milano,N,1988-11-24T00:00:00.000,,5034443,515270,(45.46335, 9.195325)
5532,Biossido di Azoto,µg/m³,529,Cinisello Balsamo v.Lincoln,149,MI,Cinisello Balsamo,N,1988-11-24T00:00:00.000,,5044335,517778,(45.552326, 9.227764)
5533,Biossido di Azoto,µg/m³,530,Agrate Brianza v.Ferrario,162,MB,Agrate Brianza,S,1990-02-13T00:00:00.000,2018-07-30T00:00:00.000,5046977,527628,(45.575787, 9.354106)
5534,Biossido di Azoto,µg/m³,531,Pioltello Limito,114,MI,Pioltello,N,1989-05-23T00:00:00.000,,5036730,525583,(45.48363, 9.32736)
5535,Biossido di Azoto,µg/m³,532,Cuggiono v. Languria,156,MI,Cuggiono,S,1990-01-01T00:00:00.000,2017-01-01T00:00:00.000,5038680,484723,(45.501484, 8.804454)
5538,Biossido di Azoto,µg/m³,535,Lacchiarella v.Molise,97,MI,Lacchiarella,S,1999-03-19T00:00:00.000,2018-07-30T00:00:00.000,5019010,510542,(45.324516, 9.134518)
5539,Biossido di Azoto,µg/m³,536,Arese v. Matteotti,157,MI,Arese,S,1991-10-16T00:00:00.000,2018-07-30T00:00:00.000,5043325,506302,(45.543434, 9.080726)
5540,Biossido di Azoto,µg/m³,537,Lainate v.Mengato,176,MI,Lainate,S,1991-09-25T00:00:00.000,2013-09-12T00:00:00.000,5046000,502013,(45.567535, 9.025797)
5541,Biossido di Azoto,µg/m³,538,Settimo Milanese v. Della Libertà,132,MI,Settimo Milanese,S,1992-05-27T00:00:00.000,2018-07-30T00:00:00.000,5036306,504444,(45.48027, 9.056862)
5542,Biossido di Azoto,µg/m³,539,Milano v.Liguria,115,MI,Milano,N,1991-10-24T00:00:00.000,,5032273,513134,(45.44386, 9.167945)
5543,Biossido di Azoto,µg/m³,540,Garbagnate Milanese v. Villoresi,175,MI,Garbagnate Milanese,S,1992-12-11T00:00:00.000,2018-07-30T00:00:00.000,5046467,506105,(45.571716, 9.078241)
5544,Biossido di Azoto,µg/m³,541,Limbiate v. F. Turati,181,MB,Limbiate,S,1994-11-24T00:00:00.000,2018-07-30T00:00:00.000,5049330,509823,(45.597443, 9.125949)
5545,Biossido di Azoto,µg/m³,542,Meda v. Gagarin,222,MB,Meda,N,1995-11-01T00:00:00.000,,5056480,512203,(45.661762, 9.156644)
5546,Biossido di Azoto,µg/m³,543,Vimercate v. dell'Ospedale,194,MB,Vimercate,S,1994-12-23T00:00:00.000,2018-07-30T00:00:00.000,5051330,528723,(45.61492, 9.368396)
