,Data,IdSensore,Valore,idsensore,tipologia,unit_dimisura,idstazione,nomestazione,quota,provincia,storico,datastart,datastop,cgb_nord,cgb_est,lat,lng,coordinate
106,2011-07-23,20,0.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
107,2011-07-24,20,0.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
108,2011-07-28,20,13.600000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
109,2011-07-31,20,1.0,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
110,2011-07-04,20,5.0,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
111,2011-07-06,20,1.6,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
112,2011-07-07,20,20.0,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
113,2011-07-08,20,7.6000000000000005,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
114,2011-08-01,20,0.8,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
115,2011-08-15,20,24.8,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
116,2011-08-18,20,0.6000000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
117,2011-08-19,20,4.6,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
118,2011-08-02,20,0.2,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
