,Data,IdSensore,Valore,idsensore,tipologia,unit_dimisura,idstazione,nomestazione,quota,provincia,storico,datastart,datastop,cgb_nord,cgb_est,lat,lng,coordinate
71,2011-02-05,2202,0.42500000000000004,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
72,2011-02-06,2202,0.2659722222222222,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
73,2011-02-07,2202,0.2715277777777778,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
74,2011-02-08,2202,0.45902777777777776,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
75,2011-02-09,2202,0.7215277777777778,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
76,2011-03-01,2202,1.1861111111111111,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
77,2011-03-10,2202,1.025,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
78,2011-03-11,2202,0.9847222222222223,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
79,2011-03-12,2202,0.5840277777777777,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
80,2011-03-13,2202,1.6305555555555555,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
81,2011-03-14,2202,0.7291666666666666,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
82,2011-03-15,2202,1.7020833333333334,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
83,2011-03-16,2202,3.5506944444444444,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
84,2011-03-17,2202,0.3020833333333333,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
85,2011-03-18,2202,1.0479166666666666,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
86,2011-03-19,2202,1.2020833333333334,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
87,2011-03-02,2202,1.1840277777777777,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
88,2011-03-20,2202,1.2097222222222221,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
89,2011-03-21,2202,1.2374999999999998,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
90,2011-03-22,2202,1.1229166666666666,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
91,2011-03-23,2202,0.9784722222222223,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
92,2011-03-24,2202,1.0694444444444444,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
93,2011-03-25,2202,1.370138888888889,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
94,2011-03-26,2202,1.2534722222222223,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
95,2011-03-27,2202,0.3826388888888889,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
96,2011-03-28,2202,0.9868055555555555,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
